customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8254-FCOX,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.1,555.82,No
6928-ZJMH,Male,0,No,No,58,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,61.26,3548.58,No
1238-IXOC,Female,0,Yes,No,12,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),58.09,652.51,No
9838-WGOQ,Female,0,No,No,24,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),47.66,1126.25,No
1871-LMIE,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,83.14,2223.39,Yes
9240-KSNB,Female,0,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),90.91,3109.6,Yes
4476-KLLW,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.89,4246.88,No
1569-KJDY,Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.36,383.19,Yes
7496-OVFT,Female,0,No,No,24,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.23,1911.18,Yes
4853-YTUX,Male,0,Yes,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,87.7,4642.84,No
3621-WHFK,Female,0,No,No,64,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,97.38,5620.0,No
3168-WIKS,Female,0,No,No,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,87.8,2563.46,Yes
6112-IMKL,Female,0,Yes,Yes,69,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,64.32,3881.51,No
4625-VQYT,Male,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.58,1212.74,Yes
1347-RJZW,Female,0,Yes,Yes,41,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),66.95,2638.4,No
7567-NBGZ,Male,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.81,297.6,No
8658-CKXP,Male,0,Yes,Yes,38,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,72.19,2716.95,Yes
8081-FWKV,Female,0,Yes,No,8,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,65.21,498.36,Yes
3556-GQWC,Male,0,No,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.77,1252.04,No
8970-JFTT,Male,0,No,No,10,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),65.36,586.35,No
2905-NVEH,Male,0,No,Yes,29,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),85.01,2309.02,No
8706-DYRQ,Female,1,Yes,No,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,97.41,2578.15,No
8466-TUGV,Male,1,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.87,3813.02,No
1289-TOTS,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.97,3712.52,No
9395-ESWK,Male,0,No,Yes,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.23,5222.84,No
3846-NEAZ,Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,87.85,3462.45,No
5446-RYYW,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.75,429.11,Yes
2811-MOYL,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.31,3252.24,No
7567-ASBS,Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.1,598.53,No
4057-MRRW,Male,0,No,No,21,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),80.28,1592.81,Yes
1288-MGHL,Female,1,No,Yes,19,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,79.28,1494.03,Yes
9361-JNQH,Female,0,No,Yes,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),89.35,3574.32,No
5033-BSWE,Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,90.34,871.96,Yes
5450-WTBO,Female,0,Yes,No,45,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),73.49,3188.37,No
3513-GVAJ,Male,1,No,Yes,49,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,75.37,3253.34,No
4908-JMXE,Male,0,Yes,No,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.87,807.72,No
3386-URLM,Male,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.85,1623.84,No
6256-LFVH,Male,0,No,Yes,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),65.59,3308.41,No
1789-YUXX,Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,90.22,2100.15,No
1545-YMHV,Male,1,No,No,13,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,65.13,880.88,No
5568-GSTA,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,99.11,2751.41,Yes
3768-WPPF,Male,0,No,No,30,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,94.78,2869.49,No
9272-BVMQ,Male,0,No,Yes,39,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,70.66,2712.48,No
2532-BQBI,Male,1,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.79,213.1,No
4298-SVKB,Male,1,Yes,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),81.98,1278.5,Yes
7731-MHBI,Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.03,,No
9386-TWIN,Female,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,765.07,No
7274-ZMIX,Male,0,Yes,No,62,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),57.91,3560.01,No
8856-PVNZ,Female,0,No,No,50,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,52.04,2326.28,No
7951-CWJV,Female,0,No,Yes,63,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,94.41,5954.47,No
9462-CVBP,Male,0,No,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.08,1826.78,No
7213-NQQN,Female,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),87.87,3463.8,No
5173-YGGG,Female,1,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),96.31,1652.42,Yes
1035-QSFJ,Male,1,No,No,61,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),50.14,2716.19,No
8978-IBJH,Male,0,Yes,No,51,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,70.58,3205.91,No
5179-MELG,Male,0,No,Yes,35,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.23,2352.58,No
4546-VRKX,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,88.65,2911.25,No
3295-MTRE,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),79.38,161.0,Yes
9916-YINN,Female,0,Yes,No,59,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,79.41,4738.82,No
5766-OUEB,Female,1,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.74,830.2,No
3841-OPCP,Female,0,Yes,No,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),60.58,1418.69,No
4468-YPYL,Male,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,96.72,362.34,Yes
3542-BMON,Male,0,No,No,46,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.5,4330.91,Yes
6847-LJQY,Female,0,No,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.08,2348.46,No
1938-JFIN,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,101.2,4275.17,No
2141-DKCS,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,77.34,5186.61,No
6109-ZKXK,Male,1,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.33,578.46,Yes
5245-DYRU,Male,0,No,No,25,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),62.04,1583.85,No
4027-CUNF,Male,0,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.05,1308.37,No
3503-AEPV,Male,1,Yes,No,23,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),65.56,1561.44,No
1996-PRPN,Male,1,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,82.43,1760.27,No
3070-TJGJ,Male,1,Yes,No,51,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),74.39,3688.35,Yes
8044-SVQA,Female,0,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.2,841.61,Yes
3405-MCPU,Male,0,No,Yes,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),92.94,1487.53,No
3318-CIKQ,Female,0,No,No,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.0,1452.7,No
2713-YULB,Male,0,Yes,No,62,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,64.44,3919.1,No
8442-OBBH,Female,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.03,1347.19,No
9878-TUPH,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),75.75,2532.37,Yes
4492-SFQT,Female,0,No,No,33,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.89,1709.71,No
8306-CVHO,Male,0,Yes,No,44,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,68.59,2928.04,No
8216-SHIH,Female,0,Yes,No,58,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),74.83,3960.18,No
7388-MEQR,Female,0,No,No,43,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),73.54,3169.49,No
1238-VWMD,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,99.71,2113.32,No
3800-ICCU,Female,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.64,1570.99,No
7046-LSNL,Male,1,No,No,39,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,67.04,2551.23,Yes
1326-PAXN,Female,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.13,0.0,Yes
1619-NMQW,Female,0,Yes,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),89.6,3852.25,No
1777-NJNR,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,97.57,3976.11,No
1008-YVOQ,Male,0,No,No,2,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),75.48,135.64,No
9388-ZLXE,Female,1,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,90.38,2059.88,No
7462-LPQZ,Female,0,No,No,57,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),82.55,4748.13,Yes
5260-MZAA,Male,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.81,4386.97,Yes
6603-SNYN,Male,0,No,Yes,51,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,64.88,3249.48,No
9235-SPSK,Male,0,No,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,97.57,2495.8,Yes
9419-KZFL,Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,27.79,611.98,No
1957-DDEF,Male,1,Yes,Yes,48,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,95.38,4469.38,No
3675-PLWT,Male,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.98,643.77,No
4239-ICOW,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.22,856.88,No
3694-HZLH,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),97.37,5020.12,No
8658-AONR,Female,1,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),77.76,3122.72,No
3785-VWWT,Male,0,No,No,52,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,77.16,3706.35,Yes
8359-CKRR,Male,0,No,No,27,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.05,1629.09,No
2381-MAAV,Female,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.04,128.37,No
8567-QDRU,Female,0,No,No,56,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,64.13,3483.02,No
3549-QNGB,Female,0,No,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),97.7,5773.68,No
4710-HPZQ,Male,0,Yes,No,42,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,63.22,2692.55,No
5772-YTSG,Female,1,Yes,No,31,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.11,1718.65,No
9188-RCDC,Male,0,No,No,48,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,68.72,3204.01,No
6339-PCBB,Male,0,No,Yes,48,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,74.14,3518.09,No
4968-YJCP,Female,0,Yes,No,25,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,67.22,1547.44,No
2551-GHGZ,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,97.52,1755.38,No
4195-BKNE,Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),31.83,1700.71,No
5923-OERE,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.1,684.2,No
2406-VLOB,Male,0,No,Yes,58,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,70.81,3900.68,No
9165-JMHI,Female,0,Yes,No,28,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),70.73,1938.37,No
7579-SNXQ,Male,1,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,84.85,5091.93,No
9168-LBAK,Female,0,No,No,31,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,74.96,2297.23,No
7294-LUDW,Male,1,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),85.31,725.71,No
5038-XRBN,Female,0,No,Yes,6,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),79.88,460.65,No
7956-SMTK,Male,0,Yes,No,14,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,89.71,1152.87,Yes
3510-ENYY,Male,1,Yes,No,29,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),78.21,2218.73,Yes
